settlement_id,utr,settled_on,order_id,entity_type,gross,fees,tax,net
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_eFnm33zM9rBLYT,payment,55812.06,1116.24,200.92,54494.90
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_jdMhTZqtSpd3e0,payment,2413.54,48.27,8.69,2356.58
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_mc9drujwKPNRsM,payment,13678.01,273.56,49.24,13355.21
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_oTYfoNKG3I6f6V,payment,3611.16,72.22,13.00,3525.94
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_tiVcsXs6ARNXwS,payment,4270.89,85.42,15.38,4170.09
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_oTYfoNKG3I6f6V,refund,-3611.16,-72.22,-13.00,-3525.94
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_5Re7rnM5BZZ4OF,payment,46028.47,920.57,165.70,44942.20
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_5XeMCl6Xhl6OhH,payment,2790.56,55.81,10.05,2724.70
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_5nhpNAtBjDbO6H,payment,4838.21,96.76,17.42,4724.03
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_6dcA7nB2Byrurr,payment,321.82,6.44,1.16,314.22
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_BAb8UzolmoXBjT,payment,1469.40,29.39,5.29,1434.72
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_EW1xhYDMuBgJ3N,payment,43081.68,861.63,155.09,42064.96
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_WPECQVq6oLtY53,payment,1337.37,26.75,4.82,1305.80
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_eGXv8La10GppnE,payment,951.43,19.03,3.43,928.97
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_lQft9ndsUnyfrX,payment,56716.88,1134.34,204.18,55378.36
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_qiDwL7G4GyTgVu,payment,1612.21,32.24,5.80,1574.17
setl_vL4PL94lXmuEsO,3JUZX20XUOBFPEV6,2026-07-24,order_uYvkVxyxydobCR,payment,827.43,16.55,2.98,807.90
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_6sH8jcKSmWUKUC,payment,4112.90,82.26,14.81,4015.83
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_APZDUtnJG5EJUg,payment,44091.36,881.83,158.73,43050.80
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_Fi6X3zrPx7TQgj,payment,3313.46,66.27,11.93,3235.26
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_FzOSK9ocQlJeT5,payment,1506.28,30.13,5.42,1470.73
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_IjHCMrcon4n721,payment,4205.33,84.11,15.14,4106.08
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_L2GKGrNXPkR6S7,payment,3788.01,75.76,13.64,3698.61
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_XuUwt6GmAPm9cV,payment,3811.69,76.23,13.72,3721.74
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_aerveQ9etPj12O,payment,52545.30,1050.91,189.16,51305.23
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_cVVNawaaF20bNo,payment,2213.69,44.27,7.97,2161.45
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_nr7X5A4OikMtUk,payment,1453.84,29.08,5.23,1419.53
setl_kGs1oOrI8vKgFX,2FRRRIV8UY69OOIP,2026-07-25,order_wsfEQK8iWQ2mWc,payment,1489.25,29.79,5.36,1454.10
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_7F3v2hqo424FLm,payment,4802.18,96.04,17.29,4688.85
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_9UsXWwF7svPnki,payment,54769.37,1095.39,197.17,53476.81
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_DSIQnout1gqDAi,payment,3071.77,61.44,11.06,2999.27
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_PtA0mBe0eZiomk,payment,778.29,15.57,2.80,759.92
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_U18xGzJeaMuCzh,payment,2940.88,58.82,10.59,2871.47
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_Uo2BtcLvab1L9Y,payment,3032.52,60.65,10.92,2960.95
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_cd8MPDSfsGPLss,payment,1763.19,35.26,6.35,1721.58
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_j7kRgyynIRSFd8,payment,2929.11,58.58,10.54,2859.99
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_jpFOAk3llhq2D1,payment,2102.69,42.05,7.57,2053.07
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_v2R1btIdLIbcQu,payment,313.65,6.27,1.13,306.25
setl_mXD9ztH1rv6Mt6,FDXWJASEK0XP7O3F,2026-07-26,order_yGmKl3kZfddRaP,payment,3782.38,75.65,13.62,3693.11
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_9Ft7WTus7auGjA,payment,3768.45,75.37,13.57,3679.51
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_BXDVKMefIWDKbc,payment,1450.43,29.01,5.22,1416.20
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_CD9DxJnDtb1bOK,payment,2747.02,54.94,9.89,2682.19
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_CapjFnoGUTovra,payment,2724.41,54.49,9.81,2660.11
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_DeiHq2kG5sMIrx,payment,3384.69,67.69,12.18,3304.82
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_E3fGnh3hW7ss08,payment,3633.73,72.67,13.08,3547.98
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_HidLKSzIYp1YQ6,payment,4471.44,89.43,16.10,4365.91
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_P7OEGwNUTx7K9R,payment,4449.68,88.99,16.02,4344.67
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_SBTfrZMHfDzQ2V,payment,3633.23,72.66,13.08,3547.49
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_Xm7tFZDO4yMqW6,payment,4923.56,98.47,17.72,4807.37
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_joAKD9LYuSXYCm,payment,565.49,11.31,2.04,552.14
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_kem5H1PPJiYtgk,payment,2600.16,52.00,9.36,2538.80
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_r1LR8AnoEf5F71,payment,3305.86,66.12,11.90,3227.84
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_xHOZqueTaxff1C,payment,1809.67,36.19,6.51,1766.97
setl_JCth1HxvAgNPXr,5U5WEU8ZMAAZVZM8,2026-07-27,order_yAQGSM56jl1BU2,payment,2139.49,42.79,7.70,2089.00
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_1Uqrz7HLC69UeH,payment,880.04,17.60,3.17,859.27
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_4ZwyzITQNRkev1,payment,4061.50,81.23,14.62,3965.65
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_Ar7tGL06cvt0OE,payment,3891.49,77.83,14.01,3799.65
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_BcEIozWuvgvDGO,payment,1441.74,28.83,5.19,1407.72
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_Orh7xsEUEgZn9z,payment,438.38,8.77,1.58,428.03
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_U4895sOms83vMt,payment,1333.50,26.67,4.80,1302.03
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_ULchvC8TRgCxen,payment,1636.62,32.73,5.89,1598.00
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_e68WdpDViDtven,payment,4421.77,88.44,15.92,4317.41
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_jbQswKciWwc9NF,payment,4550.62,91.01,16.38,4443.23
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_kUQkkLxHerm5OO,payment,4670.47,93.41,16.81,4560.25
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_nNgqt1B4typnze,payment,1975.78,39.52,7.11,1929.15
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_oT5yVNPfHHJ0GC,payment,3159.48,63.19,11.37,3084.92
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_ppacwWdoQrHL2o,payment,2125.96,42.52,7.65,2075.79
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_rA1RPVePwP9oJQ,payment,1538.18,30.76,5.54,1501.88
setl_gOPcYMpvoCau4C,O5UMAWOZB4WMHAK2,2026-07-28,order_s4T6KEuKLhOXid,payment,283.06,5.66,1.02,276.38
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_1jWhBar5CP9IJv,payment,44414.84,888.30,159.89,43366.65
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_2ktniNso8MIumc,payment,16472.19,329.44,59.30,16083.45
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_6TAnyU2H9DEJ58,payment,4078.53,81.57,14.68,3982.28
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_8nUsAuxhUubWa8,payment,8708.38,174.17,31.35,8502.86
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_Co0dTdxGYzMQXW,payment,1769.10,35.38,6.37,1727.35
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_EHrBugFXNAoLeG,payment,2197.03,43.94,7.91,2145.18
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_FFQDrMja1ndTmM,payment,1309.59,26.19,4.71,1278.69
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_I5p59OkBptdnNk,payment,1767.65,35.35,6.36,1725.94
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_MjsmK3R5HmHkgV,payment,59474.17,1189.48,214.11,58070.58
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_UNtzz8yZwo831t,payment,2178.21,43.56,7.84,2126.81
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_WP3Y5bSeSyECxi,payment,1656.08,33.12,5.96,1617.00
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_WY187EFXfB0OcC,payment,4077.59,81.55,14.68,3981.36
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_ZgvAIZDwbhKtCg,payment,3263.45,65.27,11.75,3186.43
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_cdDQSl1Tpg7pyY,payment,4432.86,88.66,15.96,4328.24
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_d1uRHivoNYXBzb,payment,1879.18,37.58,6.76,1834.84
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_igaBjuMbZFIjiq,payment,351.64,7.03,1.27,343.34
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_vRKKoasRZd5TG9,payment,4686.59,93.73,16.87,4575.99
setl_hLd5wwZgNlCyV4,CSRDXOMQ122RZQ5E,2026-07-29,order_zmv3YLHfgGglZt,payment,1368.44,27.37,4.93,1336.14
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_7h82WQneEJpa2x,payment,1170.22,23.40,4.21,1142.61
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_8wDcWXh6ue47I3,payment,1916.24,38.32,6.90,1871.02
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_EzwbONVKdv7EyD,payment,4770.70,95.41,17.17,4658.12
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_L5kqLesDpfZe38,payment,4264.51,85.29,15.35,4163.87
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_P1uuhlTIjIqSEV,payment,3826.25,76.53,13.78,3735.94
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_TIrgWdJDwNcu5Y,payment,2833.56,56.67,10.20,2766.69
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_VFS5PoM0dpcW9M,payment,4339.39,86.79,15.62,4236.98
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_cqmysHgtvO2gKM,payment,2668.62,53.37,9.61,2605.64
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_dvEU7ExmfnEob2,payment,639.62,12.79,2.30,624.53
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_jMkio7CU7GLFWq,payment,1826.08,36.52,6.57,1782.99
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_m2510cFy5pD3Tx,payment,4044.10,80.88,14.56,3948.66
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_oMj3YlA0izzmzl,payment,2015.87,40.32,7.26,1968.29
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_uY127OzadX4PZ8,payment,1314.30,26.29,4.73,1283.28
setl_KjULLlQfIs7rdx,QNBW3N7M8AODKZ4I,2026-07-30,order_vSv7IRDHQLH72d,payment,15937.97,318.76,57.38,15561.83
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_3rOtQN223nkifA,payment,4552.40,91.05,16.39,4444.96
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_F4v7zjZ28H9UR5,payment,1310.18,26.20,4.72,1279.26
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_FVZQnvbc7WfL45,payment,942.46,18.85,3.39,920.22
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_JOoj3YZSIha0av,payment,633.64,12.67,2.28,618.69
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_Srulab2mhjDpyk,payment,54957.80,1099.16,197.85,53660.79
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_TatCsVbDF5d5U3,payment,3592.74,71.85,12.93,3507.96
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_W7cIida0KNCdyA,payment,3964.17,79.28,14.27,3870.62
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_Wq2BfqHTjW8kFZ,payment,1526.55,30.53,5.50,1490.52
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_WvkxCQOvmKgzhg,payment,49501.10,990.02,178.20,48332.88
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_cx98V6lVLx3RAl,payment,3257.63,65.15,11.73,3180.75
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_gsVi7ARXQ7Byy0,payment,2014.98,40.30,7.25,1967.43
setl_ZVm6gZ7kssxpip,NSFV8IPG7YDA25MN,2026-07-31,order_i6uaDDOngeqx8a,payment,782.04,15.64,2.82,763.58
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_31z3DkON1Ar15Y,payment,54796.13,1095.92,197.27,53502.94
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_AVliHhLpf7tAeU,payment,3521.57,70.43,12.68,3438.46
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_AjburaoRsb98OL,payment,946.31,18.93,3.41,923.97
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_F3DTgsNhHi7GI7,payment,1725.94,34.52,6.21,1685.21
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_K72BmwpMXmNYQq,payment,41494.12,829.88,149.38,40514.86
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_K858OTozCx7UkL,payment,463.94,9.28,1.67,452.99
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_RnkxXN57WtCrMA,payment,4222.32,84.45,15.20,4122.67
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_jatDge0nFxd23I,payment,3893.88,77.88,14.02,3801.98
setl_mxHvO3kCyyvsNV,QE9REOEY1U3WG9VX,2026-08-01,order_s9WMhYLjdupbK9,payment,4543.69,90.87,16.36,4436.46
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_2T8DEgIB3zj6tW,payment,3246.69,64.93,11.69,3170.07
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_4SfbtMsIiIGw87,payment,2981.43,59.63,10.73,2911.07
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_4a3HmXV86blU7c,payment,927.25,18.55,3.34,905.36
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_5o4zE6OYSnZ0B8,payment,41187.28,823.75,148.28,40215.25
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_5pizuYb3YPiEHR,payment,38141.98,762.84,137.31,37241.83
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_B9l3rSVjCszGkA,payment,308.84,6.18,1.11,301.55
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_EgB2NR8FrTVPPw,payment,4820.69,96.41,17.35,4706.93
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_F5ewhFuysv9rBu,payment,3842.44,76.85,13.83,3751.76
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_G9IPIDzF6XqtUG,payment,4652.71,93.05,16.75,4542.91
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_MriPfdk7Nl4vXE,payment,2856.04,57.12,10.28,2788.64
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_OimCtk328TtUJk,payment,2812.75,56.26,10.13,2746.36
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_OnF8m9vcX1buq9,payment,2608.35,52.17,9.39,2546.79
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_QJLe52Uc5MpkZs,payment,2075.15,41.50,7.47,2026.18
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_YaJb8pYjtY7D7r,payment,3199.99,64.00,11.52,3124.47
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_YhIGDrcZFGbIxP,payment,1969.64,39.39,7.09,1923.16
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_bTWbP7MQaPsNCo,payment,2582.38,51.65,9.30,2521.43
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_eGIbblyke6Eezt,payment,3173.39,63.47,11.42,3098.50
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_mqAZm7229TTS0l,payment,16409.50,328.19,59.07,16022.24
setl_O34yIpKxvoKagh,7CPWK1ZIILXGRI1U,2026-08-02,order_xPKtP8pumwRVNQ,payment,2006.08,40.12,7.22,1958.74
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_1cBap3Lo3UDaIR,payment,4703.24,94.06,16.93,4592.25
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_5hUgK41P6u5Cu6,payment,1291.29,25.83,4.65,1260.81
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_ChHl0DWw1Dlhgu,payment,3233.83,64.68,11.64,3157.51
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_FGZOuJVrP8COMb,payment,803.20,16.06,2.89,784.25
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_MHn2IoZWZykuLc,payment,1359.47,27.19,4.89,1327.39
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_OCJG0WimhTwTjS,payment,526.27,10.53,1.90,513.84
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_Srop7C55gLhMzp,payment,4855.42,97.11,17.48,4740.83
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_nAKTEkgUXMNotZ,payment,1826.71,36.53,6.58,1783.60
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_nKugVN6lI5Sx6i,payment,4252.21,85.04,15.31,4151.86
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_prWKxQTUvIZGXR,payment,4466.70,89.33,16.08,4361.29
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_somSr4i9imCob5,payment,1517.36,30.35,5.46,1481.55
setl_l7KmtfmUXhTFev,7MO9XH95I5VW8F2Z,2026-08-03,order_JaNQhhTgR8kT2N,payment,2000.00,40.00,7.20,1952.80
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_1pYjwn5qGR7Og7,payment,1367.37,27.35,4.92,1335.10
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_AqXiuPFK1OxByH,payment,4517.28,90.35,16.26,4410.67
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_AztVmDI4eCwswi,payment,3372.16,67.44,12.14,3292.58
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_H9pTSJEjx9Sa8K,payment,670.23,13.40,2.41,654.42
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_U552lEaNh4JcIm,payment,4079.91,81.60,14.69,3983.62
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_aYEczAzbhdMhQE,payment,2118.73,42.37,7.63,2068.73
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_foTfx2TVdTKXVT,payment,3154.98,63.10,11.36,3080.52
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_irzVHhz5oAWagm,payment,832.15,16.64,3.00,812.51
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_jqnyFaTMtNDnuv,payment,2596.97,51.94,9.35,2535.68
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_pFx0aZSiXIqdQM,payment,4908.67,98.17,17.67,4792.83
setl_K9Y0lq8O8KEELE,ID3SY34KSJHZ78V2,2026-08-04,order_ubdzoQ1XdyVtMy,payment,4287.04,85.74,15.43,4185.87
