txn_id,value_date,narration,credit,debit
bnk_00033,2026-08-23,MB:TRF FROM RAZORPAY SOFTWARE PVT LT EF6K0769APEXHA43,37433.90,
bnk_00034,2026-08-24,RTGS CR XDD9WAM5BWTOLLIZ RAZORPAY SOFTWARE PRIVATE LIMITED,57952.61,
bnk_00047,2026-08-24,NEFT-INWARD-UNIDENTIFIED REMITTER,11484.72,
bnk_00035,2026-08-25,UPI-RAZORPAYSOFTWARE-A1JMOJL2ASJ3GPCB-COLLECT,97728.09,
bnk_00036,2026-08-26,MB:TRF FROM RAZORPAY SOFTWARE PVT LT OK31T036G346QPSS,103520.13,
bnk_00037,2026-08-27,RTGS CR U3R2ELQANJEGG9J9 RAZORPAY SOFTWARE PRIVATE LIMITED,14138.29,
bnk_00038,2026-08-28,NEFT CR-COLLECTION A/C-CONSOLIDATED SETTLEMENT,18827.45,
bnk_00039,2026-08-29,IMPS/8BFQ3L8HG14ZC4Q0/RZPY/PAYOUT,91989.19,
bnk_00040,2026-08-30,IMPS/1MUSPM6O2OZMLIEP/RZPY/PAYOUT,121106.70,
bnk_00041,2026-08-31,MB:TRF FROM RAZORPAY SOFTWARE PVT LT NQQ2T7IEGY6467GS,108292.92,
bnk_00042,2026-09-01,RTGS CR GGUT02UUPY110PQJ RAZORPAY SOFTWARE PRIVATE LIMITED,145977.35,
bnk_00043,2026-09-02,UPI-RAZORPAYSOFTWARE-LJXH1NZ0NM62DPJM-COLLECT,19357.93,
bnk_00044,2026-09-03,IMPS/93HFEENIB7RSQ84G/RZPY/PAYOUT,57322.28,
bnk_00045,2026-09-04,IMPS/EYT3PG4YXSXCAWIT/RZPY/PAYOUT,203784.34,
